number ,rules
1,A_match_consists_of_the_best_of_three_games_of_21_points
2,At_29_all_the_side_scoring_the_30th_point_wins_that_game
3,A_player_is_not_able_to_touch_the_net_with_any_part_of_their_body_or_racket
4,A_player_is_not_able_to_hit_the_shuttlecock_twice
5,A_legal_serve_must_be_hit_diagonally_over_the_net_an_across_the_court
